Organization Name,Main Category,Subcategories,Membership Duration
Hispanic Latine Leadership Alliance,Registered Student Organizations,International/Multicultural,Lifetime
History Graduate Student Organization,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Honey Hive Club at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, Mason Korea Campus",Lifetime
Honors College,Academic Departments,Department,Lifetime
Hooked On Music,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
Hope Empowerment and Resilience,Registered Student Organizations,Special Interest,Lifetime
Hope Ministries,Registered Student Organizations,"Religious/Spiritual, Volunteer/Service",Lifetime
Housing and Residence Life,Housing and Residence Life,Department,Lifetime
Human Factors and Ergonomics Society Student Chapter,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Humanity First Student Organization,Registered Student Organizations,Volunteer/Service,Lifetime
Hylton Performing Arts Center,Mason Centers/Affiliates,"Performing/Visual Arts, SciTech Campus",Lifetime
Hypernova Solar Racing Team,Registered Student Organizations,"STEM, Computer/Technology",Lifetime
IGC Orchestra at Mason Korea,Registered Student Organizations at Mason Korea,"Performing/Visual Arts, Mason Korea Campus",Lifetime
Illustrators at Mason,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Ends at Graduation
Immanuel Christian Fellowship,Registered Student Organizations,Religious/Spiritual,Lifetime
Indian Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Information Technology Services,Academic Departments,"Department, Computer/Technology",Lifetime
INFORMS Student Chapter at George Mason University,Registered Student Organizations,Academic,Lifetime
Institute for Immigration Research,Mason Centers/Affiliates,"International/Multicultural, Special Interest",Lifetime
Institute of Electrical and Electronics Engineers,Registered Student Organizations,"Academic, STEM, Computer/Technology",Lifetime
Intelligence Community Network,Registered Student Organizations,Special Interest,Lifetime
Interfraternity Council,Fraternity and Sorority Life,Interfraternity Council,Lifetime
International Christian Club at Mason Korea,Registered Student Organizations at Mason Korea,"Religious/Spiritual, Mason Korea Campus",Lifetime
International Council on Systems Engineering at Mason,Registered Student Organizations,"Academic, STEM, Department, Computer/Technology",Ends at Graduation
International Programs and Services,University Life,Department,Lifetime
International Student Association of Costello,Registered Student Organizations,International/Multicultural,Lifetime
International Youth and Students for Social Equality,Registered Student Organizations,Political/Activist,Lifetime
International Youth Fellowship,Registered Student Organizations,"International/Multicultural, Volunteer/Service",Lifetime
InterVarsity,Registered Student Organizations,Religious/Spiritual,Lifetime
INTO Mason,Mason Centers/Affiliates,Academic,Lifetime
Intramural Sports Zebras,University Life,"Health/Wellness, Sports, Department",Lifetime
Investment Club at George Mason University,Registered Student Organizations,"Academic, Special Interest",Lifetime
Iota Phi Theta Fraternity Inc.,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
